startup_id,team_experience,market_size_million_usd,monthly_active_users,monthly_burn_rate_inr,funds_raised_inr,valuation_inr,team_experience_norm,market_size_norm,users_norm,burn_norm,funds_norm,valuation_norm,final_score
S082,9,394,96701,548863,17541337,241902576,0.8888888888888888,0.3869653767820774,0.980491951009708,0.9608313845390052,0.35170964875108124,0.47523668851535245,67.59744854860413
S059,6,95,95842,6264624,49267247,482751523,0.5555555555555556,0.0824847250509165,0.9716954081841642,0.3755007162305587,0.9921634723152623,0.9689575191289984,67.44723507292527
S019,6,952,85716,6978040,18762804,272869948,0.5555555555555556,0.955193482688391,0.8680006553885226,0.3024423318681022,0.3763675139000232,0.5387172925047141,65.8879147865663
S094,10,420,42742,2749015,46787763,310860757,1.0,0.4134419551934827,0.4279277434153934,0.7355216767782774,0.9421099038513093,0.6165953733881833,64.70282861562964
S035,7,901,52762,166381,42165906,19702701,0.6666666666666666,0.9032586558044806,0.5305370089706304,1.0,0.848808057265447,0.01974494477420865,64.3568933709502
S085,8,967,77471,3345990,20279846,29511512,0.7777777777777778,0.9704684317718941,0.7835681808872322,0.6743875993188744,0.40699217839057533,0.03985221273022038,64.11178168428603
S073,2,967,73756,495101,46341205,21552291,0.1111111111111111,0.9704684317718941,0.7455249252447467,0.9663369589305164,0.9330951969904762,0.023536454442277463,63.72700279401968
S016,5,970,89574,5370385,25050090,88547323,0.4444444444444444,0.9735234215885947,0.907508294760988,0.4670765381547918,0.5032895268081335,0.16087084289624815,63.45801339457691
S036,5,470,98606,1571701,35201143,88262145,0.4444444444444444,0.46435845213849286,1.0,0.8560861983579744,0.7082097546929333,0.16028625109800068,62.54213777988028
S034,3,563,70567,7790141,44910237,442838238,0.2222222222222222,0.5590631364562119,0.7128681440216278,0.21927796914125652,0.9042081161471532,0.8871385181818231,61.39927886934549
S018,8,622,67272,9799436,28425184,367568416,0.7777777777777778,0.6191446028513238,0.6791258755581043,0.013513245042607203,0.5714228555980256,0.7328414805535819,60.72680310534594
S022,1,778,94309,7378141,31020227,295464164,0.0,0.7780040733197556,0.9559968049809527,0.2614694175491029,0.6238092240792911,0.5850336049882565,60.20733820242318
S083,8,386,90835,8806262,31099311,245556534,0.7777777777777778,0.3788187372708758,0.9204214967435382,0.11522064693827305,0.625405699962339,0.48272700641484223,60.027775895713084
S062,6,691,67370,4385868,7474447,407630460,0.5555555555555556,0.6894093686354379,0.6801294392331955,0.567897407601752,0.14848842698313133,0.8149654254000605,59.25553854863737
S068,8,37,88714,9128552,48487260,304292375,0.7777777777777778,0.023421588594704685,0.8987015114897801,0.08221607920195084,0.9764178039804421,0.6031307223808956,59.11802491324484
S060,10,805,11511,4892611,47205976,194451800,1.0,0.8054989816700611,0.10810838487690984,0.51600366696938,0.9505524076254878,0.3779664416166518,58.900508663649866
S020,2,471,93364,668467,25417275,205922610,0.1111111111111111,0.4653767820773931,0.9463195838282882,0.9485831661036361,0.5107019237166985,0.401480672887139,57.800762514015666
S065,2,962,84996,3936402,3699391,235226121,0.1111111111111111,0.9653767820773931,0.8606275345103019,0.6139256152475798,0.07228102901191781,0.46155049661286246,56.63661970781957
S070,9,565,37604,2039173,15192217,336093538,0.8888888888888888,0.5610997963340122,0.37531233359275795,0.8082140605664386,0.3042877501826528,0.6683205303763607,56.60940241388212
S027,10,407,55780,6780886,40308782,123751207,1.0,0.40020366598778007,0.5614426739851718,0.32263216880839474,0.8113181265863015,0.23303595329345675,55.93177305566521
S076,10,515,22018,7663269,40711152,355933919,1.0,0.5101832993890021,0.21570474747060991,0.23227047749659702,0.8194408062820935,0.7089917041930817,55.845477106638896
S099,9,828,6395,3227825,34907127,239717603,0.8888888888888888,0.8289205702647657,0.05571826485888666,0.6864884549041005,0.7022744270257665,0.47075767086605214,55.765067377519095
S001,7,789,66299,6091495,4183839,263247468,0.6666666666666666,0.7892057026476579,0.6691619219268422,0.39323023873396157,0.08206062474039401,0.5189919880043661,55.46125367963523
S039,2,873,37257,3488618,41522233,259137186,0.1111111111111111,0.8747454175152749,0.3717588989472822,0.6597815752812183,0.8358141720159765,0.5105662428708558,55.249069466768894
S024,6,227,90184,1757923,29549535,57685442,0.5555555555555556,0.21690427698574338,0.9137549666161471,0.8370158684904841,0.5941202312439318,0.09760648691125186,54.26135249568448
S048,4,240,93484,2777423,4294539,399229565,0.3333333333333333,0.23014256619144602,0.9475484373079917,0.7326125149666995,0.08429533568386434,0.7977442711913272,53.848281509323584
S014,3,996,52833,2954941,27447054,66564401,0.2222222222222222,1.0,0.5312640806127883,0.7144335306500391,0.5516772565453008,0.11580763359288758,53.771544007226254
S096,10,327,51507,8887590,49655442,98146618,1.0,0.31873727087576376,0.5176852496620653,0.10689213694770672,1.0,0.180548620024771,53.09402732891554
S056,4,848,56350,8569981,23245919,274776778,0.3333333333333333,0.8492871690427699,0.5672797280137631,0.13941734019374474,0.4668685631442508,0.5426261395358744,52.704330523338804
S042,2,573,65833,4153022,41771748,141952729,0.1111111111111111,0.5692464358452138,0.6643898742473272,0.5917423347764448,0.8408511539587047,0.2703475989211727,52.246746880716735
S049,7,758,42207,5759840,11609076,286890017,0.6666666666666666,0.7576374745417516,0.42244910498504895,0.42719384267013705,0.23195455772829662,0.5674572982143535,51.977093381302375
S044,9,909,34798,3856688,11802429,54653148,0.8888888888888888,0.9114052953156823,0.34657764305902594,0.6220888412630727,0.2358577922816193,0.09139052985188895,51.35549356075598
S054,2,534,49911,2977109,20840174,432352497,0.1111111111111111,0.5295315682281059,0.5013414983820096,0.7121633849502693,0.4183035705634104,0.8656435985626829,51.17167687717312
S040,4,752,67963,7963697,1423286,381747542,0.3333333333333333,0.7515274949083504,0.6862020235120633,0.20150471909302314,0.026333090872915643,0.7619075402283021,51.02425714341708
S089,8,754,29955,9235687,39293284,128338832,0.7777777777777778,0.7535641547861507,0.29698316470732805,0.07124476651948819,0.7908181763272931,0.24244021290827633,50.3738523838013
S004,5,57,93657,6374167,20153173,305887183,0.4444444444444444,0.04378818737270876,0.9493200344078975,0.36428280886905207,0.40443501904692386,0.6063999495883922,50.08078389253854
S041,9,250,52183,2507184,3695961,315752912,0.8888888888888888,0.24032586558044808,0.5246077909310614,0.7602867257101169,0.07221178729072447,0.6266238948335799,49.34044790718457
S011,4,693,39453,4377576,26191539,228825555,0.3333333333333333,0.6914460285132383,0.39424691762585506,0.568746561704174,0.5263320613312885,0.44842985481110503,48.99398787008879
S015,6,556,65418,8033441,3503157,325109026,0.5555555555555556,0.5519348268839104,0.6601400892966862,0.19436248516642884,0.06831963545021089,0.6458031706117545,48.53099904602247
S072,5,807,8255,1464466,33698788,171566703,0.4444444444444444,0.8075356415478615,0.07476549379428993,0.8670677516832545,0.6778815780038876,0.33105384664685167,48.49122572907478
S007,3,583,68940,4428727,22725756,123865200,0.2222222222222222,0.5794297352342159,0.6962069389259821,0.5635083704966262,0.4563679854704626,0.23326962970909057,48.30674944382676
S009,8,814,51105,5996594,4422201,58978079,0.7777777777777778,0.814663951120163,0.5135685905050588,0.4029487111741389,0.08687246006024474,0.10025628804707302,47.635578785047564
S092,1,719,43116,6149628,27810313,338382319,0.0,0.7179226069246436,0.4317576700938025,0.3872770458449002,0.559010398935672,0.6730123460163632,47.505505523567464
S025,9,512,38723,5184207,449395,312480960,0.8888888888888888,0.5071283095723014,0.3867713922909925,0.4861423621394423,0.006673064897782262,0.619916658288477,47.40545380124249
S064,10,583,8780,2265167,15126502,216037667,1.0,0.5794297352342159,0.08014172776799246,0.7850708222375968,0.3029611555155331,0.42221572033471777,47.320499259013864
S005,7,512,61187,841971,118834,84815222,0.6666666666666666,0.5071283095723014,0.6168127636914759,0.9308152411896677,0.0,0.153220338176981,47.16934276828432
S028,3,880,46817,9455634,31530803,140355017,0.2222222222222222,0.8818737270875764,0.4696575594969893,0.04872077986181689,0.6341162681142802,0.267072418748924,46.71728496407583
S078,9,482,60813,9663273,2288627,249475901,0.8888888888888888,0.47657841140529533,0.6129828370130668,0.027457211522115887,0.043801808149641575,0.4907613912640304,46.48249259319215
S037,9,700,12788,6155525,22364990,177345404,0.8888888888888888,0.6985743380855397,0.12118543399008724,0.38667315513795575,0.4490851694972736,0.34289971557476484,46.08096077225644
S030,4,402,50959,8220528,30503180,314045611,0.3333333333333333,0.395112016293279,0.5120734854380863,0.17520357373856787,0.6133715493802079,0.6231240660889373,46.00354743124059
S021,5,652,26836,5383152,17781862,313394218,0.4444444444444444,0.6496945010183299,0.2650432146807029,0.4657691152862895,0.3565651487481743,0.6217887632071027,45.619636886242894
S067,4,805,71395,6892385,10074901,12640328,0.3333333333333333,0.8054989816700611,0.7213472330315815,0.3112139544733791,0.20098402781232014,0.005267652234235921,45.34957520462289
S053,4,45,92006,3494084,803328,318108788,0.3333333333333333,0.031568228105906315,0.932413058616311,0.6592218217448171,0.01381794248003416,0.6314532497883382,45.212977128999654
S086,8,642,2149,7832937,10970723,496345570,0.7777777777777778,0.639511201629328,0.01223733256871339,0.2148953836411056,0.2190680678014934,0.9968242142499073,45.150162080653125
S080,9,199,16746,7365360,23295179,475629220,0.8888888888888888,0.18839103869653767,0.16171711792897228,0.2627782741075997,0.46786297923345904,0.9543573749438463,45.10517010922397
S081,7,234,46943,8123461,6597519,497894795,0.6666666666666666,0.2240325865580448,0.4709478556506779,0.18514385850217085,0.13078580188615255,1.0,45.06757373574184
S100,8,243,59140,1046161,10495300,56547339,0.7777777777777778,0.23319755600814665,0.595850571416868,0.9099048726207403,0.20947066056682767,0.09527346795691165,44.89709272631479
S046,5,494,22771,3822962,27657342,253153865,0.4444444444444444,0.48879837067209775,0.22341580305574898,0.625542600459682,0.555922359480084,0.4983009195188377,44.09680434608299
S032,3,24,87555,2319042,2900603,307904524,0.2222222222222222,0.010183299389002037,0.8868328349649777,0.7795536759197019,0.05615582318434076,0.6105353352172567,43.5037243304588
S090,3,268,61534,5541590,33843222,157435376,0.2222222222222222,0.25865580448065173,0.6203661983369516,0.44954404561919636,0.6807972802659399,0.3020857710500211,43.254290607301535
S069,7,629,11211,738105,3612610,254103359,0.6666666666666666,0.6262729124236253,0.10503625117765125,0.9414517872584284,0.07052917309154474,0.5002473053020509,43.127529576402004
S075,8,649,47354,7463023,1748014,123442790,0.7777777777777778,0.6466395112016293,0.4751566788186622,0.25277695511280474,0.03288840447048776,0.2324037234277585,42.985525330767544
S071,8,349,1902,3130761,10292658,468048610,0.7777777777777778,0.3411405295315682,0.00970794248965715,0.6964284324484189,0.20537990812774262,0.938817738535313,42.859424843969485
S087,3,637,31716,6576818,5698848,452913640,0.2222222222222222,0.6344195519348269,0.315016589521976,0.34353004379308494,0.1126442488754983,0.9077922760917815,42.63898742251932
S038,7,584,25442,9637994,6319707,415629426,0.6666666666666666,0.5804480651731161,0.25076803342481463,0.030045943619936177,0.12517758583712474,0.831362657718333,42.52672522861391
S003,8,42,73630,8817088,649150,313090455,0.7777777777777778,0.028513238289205704,0.7442346290910581,0.1141119949468572,0.010705537205938687,0.6211660736643925,41.46199127225077
S088,1,982,21032,9931393,49601789,21720477,0.0,0.9857433808553971,0.20560766804571334,0.0,0.9989169020212284,0.023881222117834652,40.19703118033672
S063,2,566,83863,9864996,4601020,147587448,0.1111111111111111,0.5621181262729125,0.8490251095727686,0.00679947961149463,0.0904822954369423,0.2818983164128066,39.78836090530531
S057,2,708,72182,7828484,10100349,20617244,0.1111111111111111,0.7067209775967414,0.7294064637693033,0.2153513994657661,0.20149774889713887,0.02161968383873898,39.53652329852991
S002,4,939,34866,9106842,666326,172927107,0.3333333333333333,0.9419551934826884,0.34727399336419124,0.08443932275761667,0.01105227067626431,0.33384256464299106,38.53876946112354
S026,1,776,7492,8566999,21921117,380185632,0.0,0.7759674134419552,0.06695203375250891,0.13972271616256082,0.4401246649750423,0.7587057512557983,36.572832517740046
S047,2,416,25284,4091776,36396424,109952217,0.1111111111111111,0.4093686354378819,0.24915004300987179,0.5980143188764131,0.7323390006841002,0.20474914162460855,36.11925577406586
S093,5,465,7500,6605968,43351876,72784216,0.4444444444444444,0.4592668024439919,0.06703395731782247,0.34054489641180163,0.8727493412548554,0.1285577504869557,35.95290698873725
S052,1,550,15808,9570173,38498937,301586873,0.0,0.5458248472505092,0.15211157989595708,0.03699124998515102,0.7747826213696344,0.5975846624487056,35.67470819953572
S091,3,368,72794,6562440,5084921,32558781,0.2222222222222222,0.3604887983706721,0.7356736165157908,0.3450024434173763,0.10025084882679089,0.04609886732648571,34.58021989011446
S095,7,658,15251,9724733,3693305,214591500,0.6666666666666666,0.6558044806517311,0.14640765166100028,0.021163312446518256,0.07215817037775377,0.4192511951360834,34.35905451173237
S010,5,108,46676,5156799,1079600,290161754,0.4444444444444444,0.09572301425661914,0.46821365665833775,0.48894911752284587,0.019395070409342522,0.5741640940268733,34.079347010029196
S031,9,216,26409,4351754,3379569,112912284,0.8888888888888888,0.20570264765784113,0.26067054438209153,0.571390900492493,0.06582475328145197,0.21081703918494976,33.827685787963404
S074,5,340,39484,8156609,28766157,10070640,0.4444444444444444,0.3319755600814664,0.3945643714414451,0.18174929022104636,0.5783061084844566,0.0,33.66237168380943
S017,2,748,23764,2150021,8849851,25033888,0.1111111111111111,0.7474541751527495,0.23358456560029492,0.7968625128161645,0.1762538323173036,0.03067344625441928,33.527898616466516
S061,4,587,3011,6407182,16953831,239698836,0.3333333333333333,0.5835030549898167,0.021064596731249743,0.36090186064287477,0.33984961182646983,0.4707192000363328,32.964226802448366
S051,3,180,51763,3501356,6095929,146815208,0.2222222222222222,0.1690427698574338,0.5203068037520993,0.658477122199133,0.12066015904843545,0.28031528697056834,32.32126173656088
S079,1,240,30406,4403127,14840260,275715423,0.0,0.23014256619144602,0.30160160570188016,0.5661299750578903,0.2971827622916773,0.5445502857479454,30.43018693754917
S084,1,292,16471,2726188,43112788,13741196,0.0,0.2830957230142566,0.15890099537131855,0.737859308314214,0.8679228501071369,0.007524342454915952,30.14474031614103
S058,6,252,34854,8553902,529525,178303991,0.5555555555555556,0.24236252545824846,0.34715110801622084,0.14106393315236065,0.00829065647773057,0.3448647412713706,28.567331840663947
S023,10,14,954,5122148,20644716,14035851,1.0,0.0,0.0,0.49249760266551645,0.41435784218410754,0.008128361335448836,26.262269079448508
S098,7,234,4599,2553771,4466271,70995760,0.6666666666666666,0.2240325865580448,0.037326424445991886,0.7555159174407569,0.08776210514858022,0.12489156056653242,26.15877650244495
S055,8,169,2911,7029451,1043233,26934380,0.7777777777777778,0.15784114052953158,0.020040552164830215,0.29717751498922884,0.018660926480876527,0.0345693008990094,19.094731841968635
